id;Name;English;created_at
1;القاهرة;Cairo;now()
2;الجيزة;Giza;now()
3;الأسكندرية;Alexandria;now()
4;الدقهلية;Dakahlia;now()
5;البحر الأحمر;Red Sea;now()
6;البحيرة;Beheira;now()
7;الفيوم;Fayoum;now()
8;"الغربية";Gharbiya;now()
9;الإسماعلية;Ismailia;now()
10;المنوفية;Monofia;now()
11;المنيا;Minya;now()
12;القليوبية;Qaliubiya;now()
13;الوادي الجديد;New Valley;now()
14;السويس;Suez;now()
15;اسوان;Aswan;now()
16;اسيوط;Assiut;now()
17;بني سويف;Beni Suef;now()
18;بورسعيد;Port Said;now()
19;دمياط;Damietta;now()
20;الشرقية;Sharkia;now()
21;جنوب سيناء;South Sinai;now()
22;كفر الشيخ;Kafr Al sheikh;now()
23;مطروح;Matrouh;now()
24;الأقصر;Luxor;now()
25;قنا;Qena;now()
26;شمال سيناء;North Sinai;now()
27;سوهاج;Sohag;now()
